Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
TGSRTC - 7006,e-SUP LUXURY (2+2),07:50,10:50,03h 00m,283,36 Seats available,3.5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
Orange Tours and Travels,Scania AC Multi Axle Sleeper (2+1),05:00,08:00,03h 00m,700,21 Seats available,3.1,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
Northern Travels,Bharat Benz A/C Seater /Sleeper (2+1),07:00,09:30,02h 30m,712,30 Seats available,3.4,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
Morning Star Travels,A/C Sleeper (2+1),03:40,07:45,04h 05m,500,20 Seats available,2.2,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
IRA Transports,A/C Sleeper (2+1),05:30,09:05,03h 35m,719,18 Seats available,3.6,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
Mythri Tours And Travels,A/C Sleeper (2+1),05:00,08:30,03h 30m,909,9 Seats available,4.5,Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
TGSRTC - 8176,Super Luxury (Non AC Seater 2+2 Push Back),04:15,10:25,06h 10m,429,31 Seats available,4.6,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8150,Super Luxury (Non AC Seater 2+2 Push Back),04:30,10:00,05h 30m,429,31 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8073,Super Luxury (Non AC Seater 2+2 Push Back),05:00,11:25,06h 25m,429,29 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8015,RAJDHANI (A.C. Semi Sleeper),05:30,11:40,06h 10m,520,29 Seats available,2.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
